15/06/12,14:08:11,0,1.04,7,76.8,1
15/06/12,14:08:53,0,1.03,8,76.7,1
15/06/12,14:09:35,0,0.89,9,76.7,1
15/06/12,14:10:17,0,0.81,8,76.7,1
15/06/12,14:10:59,0,0.79,7,76.6,1
15/06/12,14:11:41,0,0.83,23,76.7,1
15/06/12,14:12:23,0,0.87,76,76.9,1
15/06/12,14:13:05,0,1,107,77,0
15/06/12,14:13:47,0,0.98,119,77,0
15/06/12,14:14:29,0,1,152,77.2,0
15/06/12,14:15:11,0,0.91,194,77.3,0
15/06/12,14:15:53,0,0.79,207,77.5,0
15/06/12,14:16:35,0,0.75,88,77.7,0
15/06/12,14:17:17,0,0.66,52,77.7,0
15/06/12,14:17:59,0,0.41,94,77.7,0
15/06/12,14:18:41,0,0.2,138,77.3,0
15/06/12,14:19:23,0,0.12,67,76.9,0
15/06/12,14:20:05,0,0.06,7,76.3,0
15/06/12,14:20:47,0,0.04,2,75.8,0
15/06/12,14:21:29,0,0.03,1,74.9,0
15/06/12,14:22:11,0,0.04,1,74.2,0
15/06/12,14:22:53,0,0.03,1,73.7,0
15/06/12,14:23:35,0,0,1,72.4,0
15/06/12,14:24:17,0,0,1,71.5,0
15/06/12,14:24:59,0,0,1,70.7,0
15/06/12,14:25:41,0,0,1,69.9,0
15/06/12,14:26:23,0,0,0,69.5,0
15/06/12,14:27:05,0,0.02,0,69.2,0
15/06/12,14:27:47,0,0.01,0,69.1,0
15/06/12,14:28:29,0,0,0,69.1,0
15/06/12,14:29:11,0,0,1,69.2,0
15/06/12,14:29:53,0,0,1,68.1,0
15/06/12,14:30:35,0,0,1,68.5,0
15/06/12,14:31:17,0,0,1,70.1,0
15/06/12,14:31:59,0,0,1,71.4,0
15/06/12,14:32:41,0,0,1,72.3,0
15/06/12,14:33:23,0,0,1,73.3,0
15/06/12,14:34:05,0,0,1,74.3,0
15/06/12,14:34:47,0,0,1,75,0
15/06/12,14:35:29,0,0,1,75.7,0
15/06/12,14:36:11,0,0,1,75.4,0
15/06/12,14:36:53,0,0,1,75.5,0
15/06/12,14:37:35,0,0,1,75.1,0
15/06/12,14:38:17,0,0,0,75.2,1
15/06/12,14:38:59,0,0,1,75.3,1
15/06/12,14:39:41,0,0,1,75.3,1
15/06/12,14:40:23,0,0,1,75.2,1
15/06/12,14:41:05,0,0,1,75.1,1
15/06/12,14:41:47,0,0,1,75.1,1
15/06/12,14:42:29,0,0.84,1,74,1
15/06/12,14:43:11,0,0.97,1,73.5,1
15/06/12,14:43:53,0,0.98,1,72.9,1
15/06/12,14:44:35,0,1.6,0,72.8,1
15/06/12,14:45:17,0,1.33,0,72.2,1
15/06/12,14:45:59,0,1.05,0,72,1
15/06/12,14:46:41,0,1.17,0,72,1
15/06/12,14:47:23,0,1.17,0,71.9,1
15/06/12,14:48:05,0,1.35,0,71.9,1
15/06/12,14:48:47,0,0.98,1,71.6,1
15/06/12,14:49:29,0,0.99,1,71.2,1
15/06/12,14:50:11,0,0.94,1,70.8,1
15/06/12,14:50:53,0,0.87,0,70.8,1
15/06/12,14:51:35,0,0.9,0,70.7,1
15/06/12,14:52:17,0,1.51,0,70.7,1
15/06/12,14:52:59,0,1.16,0,70.6,1
15/06/12,14:53:41,0,0.94,1,70.5,1
15/06/12,14:54:23,0,0.82,1,69.3,1
15/06/12,14:55:05,0,0.69,0,67.5,1
15/06/12,14:55:47,0,0.73,1,66.5,1
15/06/12,14:56:29,0,0.8,0,66.1,1
15/06/12,14:57:11,0,0.75,1,67,1
